"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa04979","Cholesterol metabolism",51,0.8407131636402,1.93016923433227,0.000354250073108609,0.059971225083328,0.0459482805456452,119,"tags=8%, list=1%, signal=8%","341/348/4043/114879",0.49849310876659
"hsa05213","Endometrial cancer",58,0.775668924625525,1.80516992227243,0.00660808388947126,0.254778345516281,0.19520406462385,893,"tags=10%, list=5%, signal=10%","5728/6654/5293/7157/208/1026",0.407017918923954
"hsa04931","Insulin resistance",104,0.713984725571244,1.77546744192447,0.00350228914910861,0.199232221239969,0.152646172936212,1010,"tags=13%, list=6%, signal=13%","5728/6945/7132/5465/4792/5293/2308/10891/208/376497/1385/6720/6195/5781",0.431707695803346
"hsa05171","Coronavirus disease",203,0.656379594681137,1.75457801850772,0.000185264245162345,0.059971225083328,0.0459482805456452,2272,"tags=26%, list=13%, signal=23%","714/713/7132/7450/718/6157/3455/5648/6218/4615/4792/5293/3654/5335/6347/730/6203/6223/6136/5578/57506/6300/6209/6160/719/834/2212/51284/6222/25873/6191/6141/1536/6868/6227/7297/6173/712/2244/4314/23118/1147/1432/6123/728/8829/6164/59272/11224/51187/732/6217",0.518848077743792
"hsa04610","Complement and coagulation cascades",83,0.709561721912039,1.72852973649574,0.00637666415315246,0.254778345516281,0.19520406462385,1339,"tags=19%, list=8%, signal=18%","2152/714/713/7450/718/3426/11326/5648/2/730/7035/10878/719/5327/5328/2153",0.407017918923954
"hsa05142","Chagas disease",99,0.675724821414379,1.70524348046934,0.0134285948481944,0.382194790038825,0.292826991801271,698,"tags=11%, list=4%, signal=11%","714/713/7132/718/4615/4792/5293/3654/3460/6347/208",0.380730400722792
"hsa05206","MicroRNAs in cancer",162,0.644778242166457,1.68985231282263,0.000518483213976899,0.059971225083328,0.0459482805456452,1584,"tags=20%, list=9%, signal=19%","5728/4854/9759/10253/1942/6654/7078/2261/894/3371/7431/6464/5293/7157/5335/23411/54541/4082/7430/3162/2033/960/1026/5578/836/25/5328/5159/3065/10018/5243/8434/4853",0.477270815362862
"hsa05322","Systemic lupus erythematosus",48,0.712650551433118,1.6342789142567,0.0283008579403077,0.382194790038825,0.292826991801271,1275,"tags=21%, list=7%, signal=19%","714/713/718/87/2215/2903/730/3119/2212/3112",0.352487857583619
"hsa05230","Central carbon metabolism in cancer",67,0.681228895524601,1.63118208196607,0.0351835125073028,0.40695596133447,0.311798310858873,953,"tags=13%, list=5%, signal=13%","5728/2261/8140/5293/7157/208/5163/3417/3099",0.321775918075361
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",86,0.640929742830917,1.61507948954319,0.0312112713376216,0.382194790038825,0.292826991801271,1090,"tags=12%, list=6%, signal=11%","5728/4615/4792/5293/3460/5335/4215/208/5781/6300",0.352487857583619
