"ID","Description","seed_fraction","median_NES","median_p.adjust"
"GO:2000146","negative regulation of cell motility",1,1.86116491762663,0.0137397252801002
"GO:0030336","negative regulation of cell migration",1,1.86658060703581,0.0131969376295407
"GO:0040013","negative regulation of locomotion",1,1.83508916833333,0.0156460462003268
"GO:0019216","regulation of lipid metabolic process",1,1.81107396692338,0.0239456034426805
"GO:0051051","negative regulation of transport",1,1.75591490754574,0.0320293810699146
"GO:0051851","host-mediated perturbation of symbiont process",0.7,1.95483081974851,0.0456232503242811
"GO:1905953","negative regulation of lipid localization",0.55,1.96890971816689,0.04834931702515
"GO:0046890","regulation of lipid biosynthetic process",0.55,1.84994821049175,0.0481619346852466
"GO:0030100","regulation of endocytosis",0.55,1.74635950827994,0.0484181986615024
"GO:0035821","modulation of process of another organism",0.4,1.92203783641477,0.0528157994256395
"GO:0048659","smooth muscle cell proliferation",0.4,1.89004624165396,0.0575464721970591
"GO:0048662","negative regulation of smooth muscle cell proliferation",0.25,1.95348119787204,0.0736579609907563
"GO:0065005","protein-lipid complex assembly",0.25,1.91786822011863,0.0665374375281103
"GO:0048660","regulation of smooth muscle cell proliferation",0.25,1.89146720649867,0.0602098711635403
"GO:0034381","plasma lipoprotein particle clearance",0.2,1.93111396724734,0.0792434584990195
"GO:0034377","plasma lipoprotein particle assembly",0.2,1.89525025536513,0.0915042434180053
"GO:0051055","negative regulation of lipid biosynthetic process",0.1,1.88732753482772,0.107118196026919
"GO:0019915","lipid storage",0.1,1.91582400550268,0.0926171791333054
"GO:0019217","regulation of fatty acid metabolic process",0.1,1.88634604362332,0.0778027328294398
"GO:0045744","negative regulation of G protein-coupled receptor signaling pathway",0.1,1.89314952288168,0.0889427167018734
"GO:0097006","regulation of plasma lipoprotein particle levels",0.1,1.88143259125477,0.0934307093624256
"GO:0010565","regulation of ketone metabolic process",0.1,1.83630325330636,0.0861077128779721
"GO:0060996","dendritic spine development",0.1,1.88184552148246,0.0862733645538095
"GO:0010985","negative regulation of lipoprotein particle clearance",0.1,1.78358829453779,0.0717745686783599
"GO:0050866","negative regulation of cell activation",0.1,1.77720983490825,0.0898201861145493
"GO:0050670","regulation of lymphocyte proliferation",0.1,1.75565178437284,0.0977900077414161
"GO:0070663","regulation of leukocyte proliferation",0.1,1.75262278349238,0.0846542436833567
"GO:0042180","ketone metabolic process",0.1,1.71829966261526,0.106787457262961
"GO:0090207","regulation of triglyceride metabolic process",0.05,1.88676142829719,0.0985637386684107
"GO:0032369","negative regulation of lipid transport",0.05,1.88674077741104,0.100620100353705
"GO:0042157","lipoprotein metabolic process",0.05,1.8581870028591,0.104195940521808
"GO:0140467","integrated stress response signaling",0.05,1.88597769812067,0.0975716518590603
"GO:0045601","regulation of endothelial cell differentiation",0.05,1.88480014511917,0.109081399681088
"GO:0032637","interleukin-8 production",0.05,1.82962347518871,0.109268178135381
"GO:0032677","regulation of interleukin-8 production",0.05,1.82962347518871,0.109268178135381
"GO:0170062","nutrient storage",0.05,1.7966980919498,0.138104561619143
"GO:0048259","regulation of receptor-mediated endocytosis",0.05,1.78157145447942,0.113101591807571
"GO:0033002","muscle cell proliferation",0.05,1.75780897362206,0.100952928398198
"GO:0016358","dendrite development",0.05,1.73995994203522,0.100546781860134
"GO:0007162","negative regulation of cell adhesion",0.05,1.69349241191007,0.0928507686031236
"GO:0099173","postsynapse organization",0.05,1.66184066625899,0.105135968913965
"GO:0007018","microtubule-based movement",0.05,-1.42319736002421,0.0986304629164003
"GO:0042304","regulation of fatty acid biosynthetic process",0,1.8535041626027,0.129047640196357
"GO:0010984","regulation of lipoprotein particle clearance",0,1.82793327007279,0.118617495531557
"GO:0044794","host-mediated activation of viral process",0,1.85945601387889,0.116574256796667
"GO:0070741","response to interleukin-6",0,1.80043584065264,0.15032400185359
"GO:0045922","negative regulation of fatty acid metabolic process",0,1.81238429485011,0.129073363009432
"GO:0033344","cholesterol efflux",0,1.86199663574802,0.122352311426173
"GO:0048008","platelet-derived growth factor receptor signaling pathway",0,1.84741280755538,0.125858274152577
"GO:0032757","positive regulation of interleukin-8 production",0,1.83450720257404,0.130793086542959
"GO:0010866","regulation of triglyceride biosynthetic process",0,1.8141677708106,0.098375554074488
"GO:2000773","negative regulation of cellular senescence",0,1.81401243138409,0.098375554074488
"GO:0048261","negative regulation of receptor-mediated endocytosis",0,1.82121873072219,0.120199030428846
"GO:0010883","regulation of lipid storage",0,1.81338227387041,0.159428075306872
"GO:0150146","cell junction disassembly",0,1.78110402422492,0.156290393633397
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway",0,1.80546191299989,0.118899391954611
"GO:0055090","acylglycerol homeostasis",0,1.80782244710516,0.160239211040906
"GO:0060998","regulation of dendritic spine development",0,1.80792917580487,0.15215614770084
"GO:0006956","complement activation",0,1.79237147729973,0.156910908998812
"GO:0062014","negative regulation of small molecule metabolic process",0,1.80303474802521,0.119263855818106
"GO:0035455","response to interferon-alpha",0,1.79810140683513,0.107591812553467
"GO:0046688","response to copper ion",0,1.81611154277166,0.13640210956884
"GO:0071827","plasma lipoprotein particle organization",0,1.7851330629541,0.159263645471271
"GO:0010596","negative regulation of endothelial cell migration",0,1.78961200832777,0.161757164984696
"GO:0045806","negative regulation of endocytosis",0,1.8306784428969,0.133584786499243
"GO:2000106","regulation of leukocyte apoptotic process",0,1.79566092423578,0.139711210931333
"GO:0035313","wound healing, spreading of epidermal cells",0,1.78150800595422,0.14092831154984
"GO:0070228","regulation of lymphocyte apoptotic process",0,1.75420936036244,0.163399644464397
"GO:0032371","regulation of sterol transport",0,1.76927844505012,0.163787410987953
"GO:0032374","regulation of cholesterol transport",0,1.76927844505012,0.163787410987953
"GO:0006040","amino sugar metabolic process",0,1.79437067068079,0.158531473721328
"GO:0071280","cellular response to copper ion",0,1.77389144202678,0.143406989987383
"GO:0008361","regulation of cell size",0,1.77678315907492,0.106809718250732
"GO:0032944","regulation of mononuclear cell proliferation",0,1.76016143258565,0.0944634398028076
"GO:0034368","protein-lipid complex remodeling",0,1.74277794860377,0.16821864656711
"GO:0034369","plasma lipoprotein particle remodeling",0,1.74277794860377,0.16821864656711
"GO:0022010","central nervous system myelination",0,1.77238269505348,0.134187057548452
"GO:0032291","axon ensheathment in central nervous system",0,1.77238269505348,0.134187057548452
"GO:0051345","positive regulation of hydrolase activity",0,1.77176018323195,0.134000528143764
"GO:0071825","protein-lipid complex organization",0,1.79108370587988,0.168714046488699
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation",0,1.77633054956547,0.155183344850206
"GO:0014003","oligodendrocyte development",0,1.74806429074876,0.163399644464397
"GO:0043547","positive regulation of GTPase activity",0,1.77314320768708,0.159867297522106
"GO:0070664","negative regulation of leukocyte proliferation",0,1.73633288172222,0.164166225384467
"GO:0008277","regulation of G protein-coupled receptor signaling pathway",0,1.77335381709686,0.110455125201668
"GO:0030449","regulation of complement activation",0,1.78676436392105,0.15304796548095
"GO:2000134","negative regulation of G1/S transition of mitotic cell cycle",0,1.76018743170732,0.168688641896233
"GO:1905952","regulation of lipid localization",0,1.77040799605225,0.101783745161337
"GO:0042098","T cell proliferation",0,1.72590885567583,0.109397862639462
"GO:0044788","host-mediated perturbation of viral process",0,1.761670973575,0.153840416339873
"GO:0051336","regulation of hydrolase activity",0,1.77038901933468,0.101938283034536
"GO:0050868","negative regulation of T cell activation",0,1.72271839052024,0.141842092949078
"GO:0046889","positive regulation of lipid biosynthetic process",0,1.75716704567894,0.13629125598317
"GO:0002920","regulation of humoral immune response",0,1.71990266236087,0.17016832252802
"GO:0045833","negative regulation of lipid metabolic process",0,1.73624715881283,0.151076958609095
"GO:0070328","triglyceride homeostasis",0,1.79733354474905,0.163896865101555
"GO:1902807","negative regulation of cell cycle G1/S phase transition",0,1.73632165929737,0.173716451824177
"GO:1990874","vascular associated smooth muscle cell proliferation",0,1.77952294785415,0.163069962561884
"GO:0071320","cellular response to cAMP",0,1.75858541479487,0.170908734748524
"GO:0033555","multicellular organismal response to stress",0,1.74776541411926,0.183730884082918
"GO:0090504","epiboly",0,1.76122117183197,0.165514502294335
"GO:0050771","negative regulation of axonogenesis",0,1.76043740578033,0.165514502294335
"GO:0030324","lung development",0,1.75730216373217,0.146018888359413
"GO:0016264","gap junction assembly",0,1.75352314324139,0.140231995581366
"GO:0046597","host-mediated suppression of symbiont invasion",0,1.73062182633893,0.178519315605273
"GO:0001935","endothelial cell proliferation",0,1.73800377201527,0.123868060150882
"GO:0030277","maintenance of gastrointestinal epithelium",0,1.72918691921164,0.178519315605273
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity",0,1.73618411167499,0.173526162557052
"GO:0060999","positive regulation of dendritic spine development",0,1.73716717473907,0.173280970577751
"GO:0014741","negative regulation of muscle hypertrophy",0,1.71431228545607,0.171383625727515
"GO:0070374","positive regulation of ERK1 and ERK2 cascade",0,1.71926948762485,0.112616590750643
"GO:0045717","negative regulation of fatty acid biosynthetic process",0,1.74781217681255,0.147289160487281
"GO:0098883","synapse pruning",0,1.72590600011407,0.166247099045415
"GO:0010885","regulation of cholesterol storage",0,1.75086931245131,0.160292212153284
"GO:0042129","regulation of T cell proliferation",0,1.73840830533892,0.116787998290051
"GO:0002526","acute inflammatory response",0,1.72442015178459,0.162472919734026
"GO:0071887","leukocyte apoptotic process",0,1.73844378310612,0.159116978699481
"GO:0034341","response to type II interferon",0,1.68842926885443,0.16824897191822
"GO:0034367","protein-containing complex remodeling",0,1.73502873164087,0.173669292503897
"GO:0002695","negative regulation of leukocyte activation",0,1.71108392100101,0.114012135407367
"GO:0044319","wound healing, spreading of cells",0,1.73506723221039,0.178651882095971
"GO:0090505","epiboly involved in wound healing",0,1.73506723221039,0.178651882095971
"GO:0032372","negative regulation of sterol transport",0,1.74551121632761,0.110803675401936
"GO:0032375","negative regulation of cholesterol transport",0,1.74551121632761,0.110803675401936
"GO:0030323","respiratory tube development",0,1.76809740000801,0.159663232643435
"GO:0003091","renal water homeostasis",0,1.73325877496643,0.178758926107445
"GO:0097061","dendritic spine organization",0,1.74215234039753,0.15868345991444
"GO:0002011","morphogenesis of an epithelial sheet",0,1.74269616421825,0.175500969094991
"GO:0050891","multicellular organismal-level water homeostasis",0,1.72763070536945,0.175165432760992
"GO:0044091","membrane biogenesis",0,1.71991210921303,0.174967238509049
"GO:0006833","water transport",0,1.70901049679523,0.174425481258661
"GO:0051250","negative regulation of lymphocyte activation",0,1.71699129095469,0.13563054264375
"GO:0006958","complement activation, classical pathway",0,1.69614853727622,0.181263682809574
"GO:0014912","negative regulation of smooth muscle cell migration",0,1.71406661217924,0.182120720705382
"GO:0035088","establishment or maintenance of apical/basal cell polarity",0,1.72710091165602,0.180016180341237
"GO:0061245","establishment or maintenance of bipolar cell polarity",0,1.72710091165602,0.180016180341237
"GO:0097242","amyloid-beta clearance",0,1.68269182295224,0.187790900266588
"GO:0030301","cholesterol transport",0,1.73300591894237,0.146291058821617
"GO:2000107","negative regulation of leukocyte apoptotic process",0,1.72513101550819,0.178876443497518
"GO:0045667","regulation of osteoblast differentiation",0,1.71643491519506,0.160231066955171
"GO:1902004","positive regulation of amyloid-beta formation",0,1.71941269915806,0.165949422151702
"GO:1904861","excitatory synapse assembly",0,1.72684738438029,0.176844372094082
"GO:0072089","stem cell proliferation",0,1.70765260134891,0.184224527699724
"GO:0106027","neuron projection organization",0,1.69808651011632,0.177382901466894
