"ID","Description","seed_fraction","median_NES","median_p.adjust"
"hsa05150","Staphylococcus aureus infection",1,2.08241079134767,1.54372625754049e-06
"hsa04640","Hematopoietic cell lineage",1,1.90015822062884,0.00017391442644886
"hsa04610","Complement and coagulation cascades",1,1.8265026342078,0.000966485014036853
"hsa05014","Amyotrophic lateral sclerosis",1,-1.84465220629303,3.47e-08
"hsa05012","Parkinson disease",1,-1.79813404985416,1.08676335519144e-06
"hsa05144","Malaria",1,1.80286153998711,0.00596121636335462
"hsa04512","ECM-receptor interaction",1,1.77908510752288,0.00210320801767063
"hsa03050","Proteasome",1,-1.76331886869534,0.00157298122976664
"hsa05016","Huntington disease",1,-1.74096791844124,2.07504822033636e-06
"hsa04060","Cytokine-cytokine receptor interaction",1,1.74045164881444,8.90641274978939e-06
"hsa04518","Integrin signaling",1,1.71721991145274,0.000718487771966564
"hsa04120","Ubiquitin mediated proteolysis",1,-1.69968284310536,0.000689403996542881
"hsa03010","Ribosome",1,-1.68361195418386,0.000763898956593898
"hsa05020","Prion disease",1,-1.68115913408689,8.20801696042412e-05
"hsa05022","Pathways of neurodegeneration - multiple diseases",1,-1.68015909712891,7.55204508590286e-07
"hsa04061","Viral protein interaction with cytokine and cytokine receptor",1,1.62479413716476,0.0222825008735213
"hsa05010","Alzheimer disease",1,-1.62006594326377,4.72891186731256e-05
"hsa00190","Oxidative phosphorylation",1,-1.62808717175699,0.00811582775331409
"hsa05017","Spinocerebellar ataxia",1,-1.60362044995615,0.00726529354267027
"hsa05171","Coronavirus disease",1,1.43444053034481,0.032275326428964
"hsa05132","Salmonella infection",0.95,-1.43669588324263,0.0375009781595237
"hsa04672","Intestinal immune network for IgA production",0.9,1.67279535745543,0.0399088352090465
"hsa05133","Pertussis",0.85,1.60859247143424,0.0382528890659137
"hsa04723","Retrograde endocannabinoid signaling",0.85,-1.50030796517003,0.035970634250005
"hsa05206","MicroRNAs in cancer",0.85,1.45317843870108,0.0354812349044381
"hsa05322","Systemic lupus erythematosus",0.8,1.64498588312877,0.0413064951338454
"hsa04514","Cell adhesion molecule (CAM) interaction",0.8,1.46844707966064,0.0388268475290407
"hsa04114","Oocyte meiosis",0.75,-1.51189367840673,0.0424600916329968
"hsa05152","Tuberculosis",0.75,1.43605456884299,0.0398250511446296
"hsa04141","Protein processing in endoplasmic reticulum",0.7,-1.46446709503845,0.0419955256604487
"hsa05168","Herpes simplex virus 1 infection",0.4,1.42680549536223,0.0552775910346248
"hsa04814","Motor proteins",0.4,-1.42813551508811,0.052203892611527
"hsa05415","Diabetic cardiomyopathy",0.3,-1.42942483171718,0.0556446510085749
"hsa04080","Neuroactive ligand-receptor interaction",0.25,1.2660784962579,0.0564342114433716
"hsa00020","Citrate cycle (TCA cycle)",0.2,-1.57313995094019,0.0620446398260558
