"seed","dataset","database","n_significant"
42,"GSE56500","KEGG",37
1,"GSE56500","KEGG",30
7,"GSE56500","KEGG",29
123,"GSE56500","KEGG",34
2024,"GSE56500","KEGG",30
5,"GSE56500","KEGG",33
11,"GSE56500","KEGG",26
17,"GSE56500","KEGG",36
23,"GSE56500","KEGG",33
29,"GSE56500","KEGG",33
31,"GSE56500","KEGG",37
37,"GSE56500","KEGG",24
41,"GSE56500","KEGG",31
43,"GSE56500","KEGG",33
47,"GSE56500","KEGG",29
53,"GSE56500","KEGG",20
59,"GSE56500","KEGG",29
61,"GSE56500","KEGG",21
67,"GSE56500","KEGG",32
71,"GSE56500","KEGG",33
42,"GSE56500","GO_BP",244
1,"GSE56500","GO_BP",222
7,"GSE56500","GO_BP",231
123,"GSE56500","GO_BP",213
2024,"GSE56500","GO_BP",208
5,"GSE56500","GO_BP",235
11,"GSE56500","GO_BP",196
17,"GSE56500","GO_BP",242
23,"GSE56500","GO_BP",205
29,"GSE56500","GO_BP",213
31,"GSE56500","GO_BP",233
37,"GSE56500","GO_BP",202
41,"GSE56500","GO_BP",220
43,"GSE56500","GO_BP",227
47,"GSE56500","GO_BP",208
53,"GSE56500","GO_BP",198
59,"GSE56500","GO_BP",213
61,"GSE56500","GO_BP",192
67,"GSE56500","GO_BP",194
71,"GSE56500","GO_BP",225
42,"GSE68605","KEGG",0
1,"GSE68605","KEGG",0
7,"GSE68605","KEGG",0
123,"GSE68605","KEGG",0
2024,"GSE68605","KEGG",0
5,"GSE68605","KEGG",2
11,"GSE68605","KEGG",0
17,"GSE68605","KEGG",0
23,"GSE68605","KEGG",2
29,"GSE68605","KEGG",0
31,"GSE68605","KEGG",0
37,"GSE68605","KEGG",0
41,"GSE68605","KEGG",0
43,"GSE68605","KEGG",2
47,"GSE68605","KEGG",2
53,"GSE68605","KEGG",0
59,"GSE68605","KEGG",0
61,"GSE68605","KEGG",0
67,"GSE68605","KEGG",1
71,"GSE68605","KEGG",0
42,"GSE68605","GO_BP",9
1,"GSE68605","GO_BP",5
7,"GSE68605","GO_BP",7
123,"GSE68605","GO_BP",7
2024,"GSE68605","GO_BP",8
5,"GSE68605","GO_BP",9
11,"GSE68605","GO_BP",8
17,"GSE68605","GO_BP",10
23,"GSE68605","GO_BP",41
29,"GSE68605","GO_BP",6
31,"GSE68605","GO_BP",15
37,"GSE68605","GO_BP",5
41,"GSE68605","GO_BP",10
43,"GSE68605","GO_BP",12
47,"GSE68605","GO_BP",29
53,"GSE68605","GO_BP",5
59,"GSE68605","GO_BP",6
61,"GSE68605","GO_BP",14
67,"GSE68605","GO_BP",8
71,"GSE68605","GO_BP",10
